Code_Vung,District_Name,Population_2009,S2_NDVI_Mean,S2_NDBI_Mean,L8_NDVI_Mean,L8_NDBI_Mean
01001,Ba Dinh,225910,0.2437880790803242,0.04046126448042553,0.259491284743812,-0.05878352955680151
01271,Ba Vi,246120,0.5089389235913447,-0.15626047731576914,0.5574155159525375,-0.23589034843581247
01005,Cau Giay,225643,0.2338654641767483,0.061000322070148355,0.24959334166838998,-0.03365044321301463
01277,Chuong My,286359,0.4352600469022223,-0.16093781345255448,0.4853043171758474,-0.2213795713725054
01273,Dan Phuong,142480,0.3715470948606731,-0.12150934611010568,0.3922976748654007,-0.19551213181846722
01017,Dong Anh,333337,0.40287988506871686,-0.10152196407636217,0.3842966093454019,-0.11996407376225372
01006,Dong Da,370117,0.1939040054911686,0.13266542601394238,0.20224103931777673,0.0267836526122014
01018,Gia Lam,229735,0.39757865440989815,-0.1158972573654395,0.4064076300945411,-0.17578581527883672
01268,Ha Dong,233126,0.3510491723807149,-0.014044723557963858,0.39386427970145393,-0.09880055293498279
01007,Hai Ba Trung,295726,0.1399786821075326,0.061270376068334256,0.15218487970035394,-0.04696488895985879
01274,Hoai Duc,191106,0.42831501696619356,-0.0737072888694871,0.4627964385529656,-0.14061969239792235
01002,Hoan Kiem,147334,0.19596171112896013,0.025650531985114473,0.20630638450558486,-0.06899975843188563
01008,Hoang Mai,335509,0.29061128052412777,-0.01010848382246583,0.3224851096919911,-0.10075986799284484
01004,Long Bien,226913,0.31488974171203626,-0.050216730908063056,0.31058985406031014,-0.13219077301912485
01250,Me Linh,191490,0.37452100152216095,-0.13323566724413982,0.3787781882979039,-0.1651044061506347
01282,My Duc,169999,0.46457639995337746,-0.19665228709705102,0.5396335495658232,-0.27773947751812783
01280,Phu Xuyen,181388,0.36263182314938713,-0.20876856740346425,0.41861697016357446,-0.2436682413732895
01272,Phuc Tho,159484,0.44588937484727226,-0.1435312912813147,0.46455013879145574,-0.19065494660743745
01275,Quoc Oai,160190,0.4518463766757761,-0.14070968183636381,0.48623157948112605,-0.20924015172352242
01016,Soc Son,282536,0.46832932718121756,-0.11221310573187562,0.4500887565989247,-0.11738927669944023
01269,Son Tay,125749,0.46351137960282296,-0.12699502869336116,0.5078548024146834,-0.19678772216585094
01003,Tay Ho,130639,0.20746813348418333,-0.1226186902542763,0.19862532921912449,-0.18753934421320115
01276,Thach That,177545,0.5217193237195598,-0.11910272590338554,0.5610656700952574,-0.1924506096229381
01278,Thanh Oai,167250,0.39247960622204064,-0.16634541829600896,0.45373765062354127,-0.21339278468878814
01020,Thanh Tri,198706,0.3704307135788188,-0.08202284605935377,0.40601216213024505,-0.16161898591881865
01009,Thanh Xuan,223694,0.2326659602817785,0.07879892060696753,0.28485943528682894,-0.014943092535207165
01279,Thuong Tin,219246,0.39578850921285386,-0.1420397327493591,0.436176296967152,-0.20444212625258956
01019,Tu Liem,392558,0.3357750731365578,-0.04443783657625511,0.36487558761472555,-0.12942746008621198
01281,Ung Hoa,182008,0.3616892764521749,-0.22881409137171604,0.42337172323244254,-0.2821887445856664
