Code_Vung,District_Name,Population_2009,S2_NDVI_Mean,S2_NDBI_Mean,L8_NDVI_Mean,L8_NDBI_Mean
01001,Ba Dinh,225910,0.2437880790803242,0.04046126448042553,0.299210696297967,-0.026696080045466808
01271,Ba Vi,246120,0.5089389235913447,-0.15626047731576914,0.614502619164854,-0.22305677231619636
01005,Cau Giay,225643,0.2338654641767484,0.06100032207014836,0.256204692459241,-0.024912839871970006
01277,Chuong My,286359,0.4352600469022223,-0.16093781345255448,0.4968271643214372,-0.22250725740892907
01273,Dan Phuong,142480,0.3715470948606731,-0.12150934611010568,0.49198388268416404,-0.1627530924055346
01017,Dong Anh,333337,0.4028798850687168,-0.10152196407636217,0.41525701194091313,-0.10283065612326908
01006,Dong Da,370117,0.1939040054911686,0.13266542601394238,0.20756231943779851,0.035637470063940316
01018,Gia Lam,229735,0.39757865440989815,-0.1158972573654395,0.45669221909680224,-0.1591319332110707
01268,Ha Dong,233126,0.3510491723807149,-0.014044723557963858,0.3954515587653189,-0.09856636262254906
01007,Hai Ba Trung,295726,0.1399786821075326,0.061270376068334256,0.23901288995124198,0.023092997275329128
01274,Hoai Duc,191106,0.42831501696619356,-0.0737072888694871,0.4640780942593768,-0.14029998549158532
01002,Hoan Kiem,147334,0.19596171112896013,0.025650531985114473,0.27919656532322173,-0.017384402459933085
01008,Hoang Mai,335509,0.29061128052412777,-0.01010848382246583,0.3550476181107947,-0.08766525054152542
01004,Long Bien,226913,0.31488974171203626,-0.050216730908063056,0.3876169360010248,-0.09693303854145076
01250,Me Linh,191490,0.37452100152216095,-0.13323566724413982,0.4266561222859197,-0.1451826862268461
01282,My Duc,169999,0.4645763999533775,-0.19665228709705104,0.5602482849969146,-0.27711551512650257
01280,Phu Xuyen,181388,0.3626318231493871,-0.20876856740346425,0.4307112624007772,-0.2419420114831962
01272,Phuc Tho,159484,0.44588937484727226,-0.14353129128131473,0.5071541362234341,-0.17596441505508556
01275,Quoc Oai,160190,0.45184637667577615,-0.14070968183636381,0.501647903416285,-0.2096861804869497
01016,Soc Son,282536,0.46832932718121756,-0.11221310573187562,0.46397684276796086,-0.11062990226275997
01269,Son Tay,125749,0.46351137960282307,-0.1269950286933612,0.554279345068039,-0.18522914364443716
01003,Tay Ho,130639,0.20746813348418333,-0.1226186902542763,0.3571518707985139,-0.08679863558692469
01276,Thach That,177545,0.5217193237195598,-0.11910272590338557,0.567136720324423,-0.1923866200394958
01278,Thanh Oai,167250,0.3924796062220407,-0.16634541829600902,0.4567864396434574,-0.21295593359137124
01020,Thanh Tri,198706,0.3704307135788187,-0.08202284605935374,0.42700476484246735,-0.1537415719536869
01009,Thanh Xuan,223694,0.2326659602817785,0.07879892060696753,0.291926955490869,-0.014066387261779863
01279,Thuong Tin,219246,0.3957885092128538,-0.14203973274935908,0.44861936610377956,-0.20112545930122844
01019,Tu Liem,392558,0.3357750731365578,-0.04443783657625511,0.403623547515601,-0.11121093886015498
01281,Ung Hoa,182008,0.36168927645217486,-0.22881409137171604,0.43309570406442416,-0.28156658806697893
