Code_Vung,District_Name,Water_Area_km2,Urban_Area_km2,Agriculture_Area_km2,Greenery_Area_km2,Bare_Land_Area_km2,Total_LULC_Area_km2
01001,Ba Dinh,1.1272997398883782,6.95136558510703,0.35531620282512244,2.2035375092407476,0.818301489922766,11.455820526984045
01002,Hoan Kiem,0.7833201736910009,3.6707375700443805,0.0971611422386317,0.967228748816059,0.4090396981281087,5.927487332918181
01003,Tay Ho,8.45937687922012,9.018790249677055,2.244073592204868,6.136790375006545,1.8604536213404455,27.719484717449035
01004,Long Bien,7.329252768863116,23.41297121243819,2.537884933599753,19.154644106707682,4.463268947936918,56.89802196954566
01005,Cau Giay,0.3267410045164199,9.824208439839452,1.2080175036881244,1.3820635687124931,3.1661329560044686,15.907163472760956
01006,Dong Da,0.28742105289174946,7.42488727156527,0.14680040864162058,0.42136766740650666,0.8688422405332954,9.149318641038443
01007,Hai Ba Trung,2.1498150677473995,8.693688110032507,0.10053884035342307,0.7885538219695898,1.1413209180335249,12.873916758136444
01008,Hoang Mai,4.18210178270509,18.64203354996308,1.7373000174765474,8.894700977873423,4.522307465331366,37.978443793349506
01009,Thanh Xuan,0.3197821992273051,5.73164330623089,0.22235023057639902,0.7548805838481675,1.3218405057849474,8.350496825667708
01016,Soc Son,11.217085483943647,54.564689602174404,89.92517099511988,135.8468365602527,12.494954968589422,304.0487376100801
01017,Dong Anh,11.368228572802392,50.93147724464036,47.15720720491756,68.27658774856353,12.728249014639816,190.46174978556368
01018,Gia Lam,11.437147815076294,30.0147943167088,16.256947120073228,53.40842852222756,7.270262010638447,118.38757978472432
01019,Tu Liem,4.651392266865906,29.158159086465865,8.073357869115613,24.844300756245616,7.9899491931980915,74.71715917189108
01020,Thanh Tri,4.970426749587443,26.19647425389983,11.46287468797851,20.465936394431846,7.346336545407561,70.4420486313052
01250,Me Linh,13.595223375396962,28.166120468911757,38.26397322824981,56.20244182639748,7.376844768755433,143.60460366771144
01268,Ha Dong,0.6494457735184987,17.28528802427772,3.7882135828046666,8.904235476074353,3.5397388502247424,34.16692170689998
01269,Son Tay,11.175487489893706,20.58856963282196,14.513433352751878,72.04352645786429,4.422845989125133,122.74386292245697
01271,Ba Vi,36.95991725488816,44.379005701714796,63.224669312126,262.7771140124928,11.828465711610344,419.1691719928321
01272,Phuc Tho,7.291092838522828,22.71563658836381,25.696004060087564,58.047519025318664,4.761069373047297,118.51132188534015
01273,Dan Phuong,8.443189268123637,19.05116816694204,6.993927111220465,35.599754242691176,2.7009096051168413,72.78894839409415
01274,Hoai Duc,1.0175344564703532,28.47906850340877,14.349921965507983,34.385439625299554,5.71257178153283,83.94453633221949
01275,Quoc Oai,6.60853089378298,25.788303748196086,43.60867538495988,67.17953560248387,8.066759155764073,151.25180478518686
01276,Thach That,4.3221860475061895,30.392467505857546,31.55353275971514,99.48190959178437,7.084054163099599,172.83415006796287
01277,Chuong My,12.744202068721657,42.55370193027921,77.8616543640334,83.47821449807608,12.663217595070009,229.30099045618033
01278,Thanh Oai,8.54180932220711,26.907903552082796,54.59068796504441,26.42603203947324,9.495789445811901,125.96222232461946
01279,Thuong Tin,8.04359432061296,34.81846120300408,46.472563470487415,36.31212966725758,14.226989572161802,139.87373823352385
01280,Phu Xuyen,17.16326919133679,27.315192709595145,85.57487349232947,25.71671241145206,24.380091442143534,180.150139246857
01281,Ung Hoa,11.835676032504097,24.73862684313679,97.10143522013973,17.40713524318947,28.038879084213967,179.12175242318403
01282,My Duc,23.245006308590142,25.12061499866806,77.06023178863838,90.93094177102633,18.96293349733681,235.3197283642597
